BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
7219,0.004,0.012,0.04,0.1,1,4.2672,3720000.0,1.4597e+07,0.01218,4.3792e+07,0.29197,0.8,0.1
7220,0.004,0.012,0.04,0.1,2,2.1336,1158000.0,"9.0880e+06,6.0587e+06","0.03721,0.02480","2.7264e+07,1.8176e+07","0.89218,0.59479",0.8,0.1
7221,0.004,0.012,0.04,0.1,2,2.1336,1124666.6666666663,"8.8264e+06,5.8843e+06","0.03721,0.02480","2.6479e+07,1.7653e+07","0.89218,0.59479",0.8,0.1
7222,0.004,0.012,0.04,0.1,2,2.1336,1770000.0,"1.3891e+07,9.2606e+06","0.03721,0.02480","4.1673e+07,2.7782e+07","0.89218,0.59479",0.8,0.1
7223,0.003,0.006,0.015,0.035,1,,88812000.0,8.7125e+07,0.00076,1.9603e+08,0.00856,0.3,0.4
7224,0.003,0.006,0.015,0.035,1,,43611000.0,4.2782e+07,0.00076,9.6260e+07,0.00856,0.3,0.4
7225,0.004,0.012,0.04,0.1,1,4.2672,2122500.0,8.3287e+06,0.01218,2.4986e+07,0.29197,0.8,0.1
7226,0.004,0.012,0.04,0.1,1,4.2672,1605666.6666666667,6.3006e+06,0.01218,1.8902e+07,0.29197,0.8,0.1
7227,0.004,0.012,0.04,0.1,1,4.2672,4640500.0,1.8209e+07,0.01218,5.4628e+07,0.29197,0.8,0.1
7228,0.004,0.012,0.04,0.1,1,4.2672,1172000.0,4.5989e+06,0.01218,1.3797e+07,0.29197,0.8,0.1
7229,0.004,0.012,0.04,0.1,1,4.2672,3305000.0,1.2969e+07,0.01218,3.8906e+07,0.29197,0.8,0.1
7230,0.004,0.012,0.04,0.1,1,4.2672,910000.0,3.5708e+06,0.01218,1.0713e+07,0.29197,0.8,0.1
