id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ResidentialUnits,OccupancyClass,RepairCost,StructureType,ReplacementCost,Vs30
875641,37.41106703643035,-121.9043051361717,3741.0,1,1981,3,RES1,41650.943586996524,W1,748200.0,231.84323120117188
875642,37.412559,-121.909133,595.0,1,1981,1,RES1,5725.516505891305,W1,119000.0,233.4977264404297
875643,37.41274003136436,-121.91346306906418,43401.0,1,1985,0,IND2,126610.0,C1,4231597.5,235.3754119873047
875712,37.43888850611599,-121.90260583247772,2863.5,2,1983,2,RES1,73824.72727272726,W1,572700.0,228.8883056640625
875713,37.43976109083757,-121.89735366096228,3118.0,2,2001,1,RES1,82046.67906952415,W1,623600.0,228.6995086669922
875714,37.43985128106365,-121.89943747400268,1863.0,1,1988,1,RES1,29670.683248500085,W1,372600.0,228.769287109375
875715,37.4318435,-121.8913885,1904.0,2,2000,1,RES1,40373.818181818184,W1,380800.0,294.2851867675781
875716,37.4368850661248,-121.88442342357979,295.5,1,1964,1,RES1,2045.6307578691851,W1,59100.0,293.8952331542969
875717,37.43761628523676,-121.88464786689553,699.0,1,1964,0,RES1,4848.114396076706,W1,139800.0,293.8952331542969
875718,37.437905092070785,-121.88536772760163,1146.0,1,1964,1,RES1,8201.312679206358,W1,229200.0,293.8934326171875
875719,37.43891405343317,-121.89164571580169,2137.0,1,1988,1,RES1,38366.63738484386,W1,427400.0,293.99969482421875
875720,37.425832088904954,-121.89876533598385,11160.0,1,1983,0,IND2,79329.0,W2,1088100.0,229.5949249267578
875721,37.433226,-121.871697,1102.0,1,1961,1,RES1,6757.969254631341,W1,220400.0,352.27337646484375
875722,37.433277383059846,-121.87148065816021,1102.0,1,1961,1,RES1,7798.014309772651,W1,220400.0,352.27337646484375
875723,37.433563541511774,-121.87713366510019,1282.0,1,1971,1,RES1,8974.545454545454,W1,256400.0,352.305908203125
875724,37.4337725,-121.879614,1310.5,1,1970,1,RES1,9069.818181818182,W1,262100.0,352.34283447265625
875725,37.433919572954345,-121.87534686359147,1240.0,1,1971,1,RES1,7585.454545454545,W1,248000.0,352.2886657714844
875726,37.43460832265931,-121.8739205765971,1858.0,2,1961,1,RES1,32989.098405264114,W1,371600.0,352.27154541015625
875727,37.43671490848182,-121.88110571295172,2218.6666666666665,2,1964,0,RES1,42455.73641703327,W1,443733.3333333333,293.8570251464844
875728,37.43153373974323,-121.86713414410644,1374.0,1,1971,1,RES1,6862.2812843978245,W1,274800.0,352.28240966796875
875729,37.43240773455884,-121.86726398613816,1856.0,2,1971,1,RES1,29216.771567636704,W1,371200.0,352.28448486328125
875730,37.43386444337433,-121.86552410801833,1856.0,2,1972,1,RES1,29178.621017525245,W1,371200.0,352.3069152832031
875731,37.43515629882155,-121.87036191750845,2324.0,2,1979,1,RES1,37082.10154735116,W1,464800.0,352.2696838378906
875732,37.42268564139218,-121.87967721847697,1264.0,1,1971,1,RES1,10555.181133683762,W1,252800.0,294.0544128417969
875733,37.42315005179332,-121.87595840256111,1528.0,1,1967,1,RES1,9100.042127052624,W1,305600.0,293.9227294921875
875734,37.42469793520289,-121.87591358259735,1690.0,2,1966,1,RES1,29833.40574049778,W1,338000.0,293.9063415527344
875735,37.42639466912796,-121.87938493593585,884.5,2,1965,1,RES1,16735.445489158676,W1,176900.0,293.9843444824219
875736,37.42694078708762,-121.87449354332932,1309.5,1,1967,1,RES1,6919.302492959565,W1,261900.0,293.8691711425781
875737,37.42747526827697,-121.87206226743264,1807.0,1,1967,2,RES1,8111.8121186181925,W1,361400.0,293.8384094238281
875738,37.42893884588431,-121.87337120140923,1769.0,2,1966,1,RES1,30050.943103021484,W1,353800.0,352.3047180175781
875739,37.43027294238964,-121.87291125803652,1102.0,1,1963,1,RES1,5683.04957929806,W1,220400.0,352.2936706542969
875740,37.43115,-121.880691,2001.0,2,1978,1,RES1,37204.36363636363,W1,400200.0,293.92144775390625
875741,37.42258454902513,-121.8680611542244,2150.0,2,1989,1,RES1,34385.9014296005,W1,430000.0,293.8135986328125
875742,37.4249725,-121.8646715,1970.0,2,1994,1,RES1,32264.827709139932,W1,394000.0,352.2652893066406
875743,37.42500177024038,-121.86859842825118,2150.0,2,1991,1,RES1,35111.3074274963,W1,430000.0,293.8179931640625
875744,37.425384,-121.8653455,1946.0,2,1995,1,RES1,31437.36511964452,W1,389200.0,352.2686462402344
875745,37.425604841458764,-121.8679091917296,2549.0,2,1991,1,RES1,40518.02149481503,W1,509800.0,293.8128967285156
875746,37.42629432709792,-121.86617416082977,2705.0,2,1994,1,RES1,43072.83956871361,W1,541000.0,352.2715148925781
875747,37.42727048360185,-121.86588200590086,2150.0,2,1994,1,RES1,32827.27004034078,W1,430000.0,352.27508544921875
875748,37.428356544888544,-121.86990213926097,1064.0,1,1969,1,RES1,4717.594772550571,W1,212800.0,352.28143310546875
875749,37.4304685,-121.8702915,2030.0,2,1968,1,RES1,33181.32926452428,W1,406000.0,352.2791442871094
875750,37.430870791210864,-121.87020835253942,1758.0,1,1963,1,RES1,8922.915984485719,W1,351600.0,352.27728271484375
875751,37.4310562952705,-121.86773339764184,2029.0,2,1971,1,RES1,33258.9360730385,W1,405800.0,352.2788391113281
875752,37.41678950540687,-121.90340065533957,2500.0,3,2001,0,RES3,45494.05091110631,S1,500000.0,231.15818786621094
875753,37.42058171486773,-121.89955336011897,9850.3,3,2007,21,RES3,198531.18482175673,C1,1991206.75,295.9804382324219
875754,37.42162631870249,-121.883324839372,17725.0,1,1977,0,IND2,112294.99999999999,S2,1728187.5,294.2127380371094
875755,37.422026,-121.887706,11689.6,1,1958,0,IND2,85774.2,C3,1139736.0,294.4284362792969
875756,37.41184456473768,-121.90379083598057,2135.0,1,1981,2,RES1,21661.903005340086,W1,427000.0,231.84323120117188
875757,37.41199105948448,-121.90367533906146,3030.0,1,1981,3,RES1,35032.48516144423,W1,606000.0,231.78041076660156
875765,37.41020806130268,-121.88978599808428,53500.0,1,1969,0,IND2,369158.0,S1,5216250.0,295.09332275390625
875767,37.41741515119048,-121.87937480833331,934.0,2,1992,1,RES1,16605.677895830417,W1,186800.0,294.0995788574219
875768,37.4211397952229,-121.87377193565324,1630.0,1,1967,1,RES1,19313.95677000533,W1,326000.0,293.900634765625
875769,37.4213758709561,-121.87461571934475,2361.5,1,1967,1,RES1,10684.220104936328,W1,472300.0,293.9190368652344
875770,37.4214395,-121.8742325,1388.5,1,1967,1,RES1,5840.800989339956,W1,277700.0,293.900634765625
875771,37.42171549106951,-121.88066978246418,2935.0,2,1982,2,RES1,40993.5417346163,W1,587000.0,294.1007080078125
875778,37.42054687025197,-121.87102486004196,1228.0,1,1969,1,RES1,4720.430826233171,W1,245600.0,293.8455505371094
875779,37.42096782989049,-121.86503599324593,6272.0,2,1994,4,RES1,100771.84975755088,W1,1254400.0,352.248291015625
875782,37.421761241931684,-121.8672894426384,5277.0,2,1992,3,RES1,84543.48129791552,W1,1055400.0,293.8069763183594
887666,37.45750360047359,-121.9131325723799,2787.8260869565215,2,1983,0,IND2,21577.782608695652,W2,239753.04347826086,293.8804626464844
887667,37.4582135,-121.9126855,2787.8260869565215,2,1983,0,IND2,21577.782608695652,W2,239753.04347826086,293.84271240234375
887668,37.4595545,-121.911758,749.0,2,1989,0,RES3,21395.84864062032,W1,149800.0,293.7889099121094
887670,37.461573926019746,-121.90525640840949,945.0,1,1962,1,RES3,15063.031369099972,W1,189000.0,352.13104248046875
887671,37.46170648019658,-121.90486225070826,945.0,1,1962,1,RES3,14519.742628338658,W1,189000.0,352.1227111816406
887673,37.462599,-121.904306,3972.0,2,1962,1,RES3,117857.45454545454,W1,794400.0,352.10076904296875
887675,37.448844287624915,-121.9158553364148,1867.0,2,1990,1,RES1,55754.90909090909,W1,373400.0,228.81985473632812
887676,37.44957899366518,-121.90628392936553,3303.0,2,1980,2,RES1,95441.76628060773,W1,660600.0,293.98675537109375
887677,37.44966332451435,-121.91342331391941,1786.0,2,1990,1,RES1,53221.818181818184,W1,357200.0,228.71817016601562
887678,37.450685348970474,-121.90822624009323,1743.0,1,1979,1,RES1,21932.434642083892,W1,348600.0,293.9948425292969
887679,37.45171574340407,-121.90550092443755,2839.0,2,1980,1,RES1,72091.74543353602,W1,567800.0,293.9136962890625
887680,37.45220510389158,-121.90481876132802,450.0,1,1966,0,RES1,5796.060016856999,W1,90000.0,293.8741455078125
887681,37.4529765,-121.9140025,60.5258064516129,1,1985,0,RES3,934.8010103290816,W1,12787.314516129032,228.62156677246094
887682,37.4531455,-121.913265,60.5258064516129,1,1985,0,RES3,934.8010103290816,W1,12787.314516129032,294.02093505859375
887683,37.45327996394726,-121.91278473084056,144.8780487804878,1,1961,0,RES3,2609.7028824833706,W1,28975.60975609756,294.02093505859375
887684,37.45348596459775,-121.90755419444758,1741.0,2,1968,1,RES1,41800.727272727265,W1,348200.0,293.89501953125
887685,37.4538025,-121.9099,2741.5,2,1987,2,RES1,78454.44400920681,W1,548300.0,293.9175109863281
887686,37.454242693087245,-121.90996304702865,1405.5,2,1987,1,RES3,31491.452072646236,W1,281100.0,293.9175109863281
887687,37.45485201872022,-121.90768138382121,266.0,1,1956,0,RES1,4050.521511047989,W1,53200.0,293.8486328125
887688,37.45536061538895,-121.9146872568112,9.377777777777778,1,1968,0,RES3,151.27272727272728,W1,1875.5555555555557,293.96832275390625
887689,37.455825135402605,-121.90538995898252,1386.0,1,1960,1,RES1,19450.18181818182,W1,277200.0,352.263427734375
887690,37.456058051561435,-121.90457892301525,1100.0,1,1960,1,RES1,17892.844951897958,W1,220000.0,352.2285461425781
887691,37.4564235,-121.9136205,9.377777777777778,1,1968,0,RES3,151.27272727272728,W1,1875.5555555555557,293.9222106933594
887692,37.4568515,-121.9141905,110.37058823529412,1,1989,0,RES3,1455.8559213091703,W1,23318.04411764706,293.9222106933594
887693,37.45692398060666,-121.90954030996187,3579.3333333333335,1,1964,0,COM1,24526.333333333332,W2,376903.8,293.8242492675781
887694,37.457186209162145,-121.90938834191124,3579.3333333333335,1,1964,0,COM1,24526.333333333332,W2,376903.8,293.8242492675781
887695,37.440195133058545,-121.91565027422212,2235.0,1,1958,1,RES1,57428.36363636363,W1,447000.0,229.4138946533203
887696,37.44154565521482,-121.90563280553872,2134.0,2,1984,2,RES1,59995.63636363636,W1,426800.0,228.87582397460938
887697,37.44325204634227,-121.90669428947365,1421.0,2,1988,1,RES1,41341.81818181818,W1,284200.0,228.8211669921875
887698,37.44461212130085,-121.913015701782,2239.5,1,1979,1,RES1,44195.92592161194,W1,447900.0,228.9488067626953
887699,37.4474855,-121.912171,3712.5,2,1990,2,RES1,112378.18181818181,W1,742500.0,228.7990264892578
887700,37.4479435,-121.9126865,6184.5,2,1990,4,RES1,190174.54545454547,W1,1236900.0,228.76332092285156
887703,37.45806333200023,-121.90257295334146,1634.0,2,1967,1,RES1,49225.53391149673,W1,326800.0,352.159423828125
887704,37.458374,-121.9011525,1634.0,2,1967,1,RES1,49158.783545881204,W1,326800.0,352.1504821777344
887705,37.45923542465849,-121.90316570369164,735.0,1,1963,1,RES1,9970.042331488115,W1,147000.0,352.1522521972656
887706,37.45863981494991,-121.87780696062265,7366.0,2,1987,2,RES1,290465.72124319104,W1,1473200.0,519.2969360351562
887707,37.44905555604164,-121.89679006480904,1497.0,1,1973,1,RES1,16642.684235385925,W1,299400.0,293.82672119140625
887708,37.450021310282494,-121.90128635822997,2500.0,1,2012,0,COM4,14472.625,C2,329750.0,293.8855895996094
887709,37.450386512825226,-121.90088712944417,2500.0,1,2012,0,COM4,14472.625,C2,329750.0,293.84942626953125
887710,37.45501099144731,-121.9032631335927,1100.0,1,1960,1,RES1,15671.884397197706,W1,220000.0,352.24542236328125
887711,37.4561105,-121.899552,779.0,1,1967,1,RES1,9655.279325039568,W1,155800.0,352.1646728515625
887712,37.45105230766784,-121.88983542735797,1296.0,1,1981,1,RES1,16409.446467576214,W1,259200.0,352.160400390625
887713,37.44325759748104,-121.89572894308783,1318.0,1,1975,1,RES1,14442.416158216873,W1,263600.0,228.56488037109375
887714,37.443552405336,-121.90331534264583,1778.0,1,1990,1,RES1,25403.45104058265,W1,355600.0,228.6970672607422
887715,37.44424061581951,-121.89983276574449,569.5,1,1980,1,RES1,7035.796091020046,W1,113900.0,228.622314453125
887716,37.444830138888896,-121.90073099305556,1932.0,2,1980,1,RES1,55373.89640931114,W1,386400.0,294.03271484375
887717,37.44507056293938,-121.90164210392093,1834.5,2,1981,1,RES1,38780.32132498182,W1,366900.0,228.6312713623047
887718,37.44690491754874,-121.8989312474466,2817.0,2,1981,1,RES1,80571.41621073608,W1,563400.0,293.9112243652344
887719,37.44696017997521,-121.89752013824952,2097.0,2,1981,1,RES1,59636.365932275694,W1,419400.0,293.8807373046875
887720,37.44095309474804,-121.88634847285309,794.0,1,1964,0,RES1,5759.108676819834,W1,158800.0,293.85748291015625
887721,37.4419375,-121.8925785,2545.5,2,1982,1,RES1,67492.17826734966,W1,509100.0,293.9219055175781
887722,37.444757154901275,-121.88368813878486,1717.0,2,1980,1,RES1,43355.98120314412,W1,343400.0,352.21929931640625
887723,37.44549497386055,-121.88541553129087,1976.0,2,1980,1,RES1,49814.14061084622,W1,395200.0,352.2201232910156
887724,37.4457125,-121.8895875,15699.0,2,1981,6,RES3,424341.73803990206,W1,3139800.0,293.80743408203125
887725,37.446306301502915,-121.88982696760117,7849.0,2,1981,3,RES3,218767.20892314077,W1,1569800.0,293.7924499511719
887726,37.455176,-121.8815315,1126.0,2,1991,0,RES1,41740.05492302188,W1,225200.0,423.1757507324219
887727,37.440326199790775,-121.87943787938251,1288.0,1,1962,1,RES1,10836.093557597942,W1,257600.0,352.24664306640625
887728,37.44349502083334,-121.88000493326436,1976.0,2,1981,1,RES1,47737.204361093936,W1,395200.0,352.2172546386719
887729,37.44489784526392,-121.87697307736805,2636.0,1,1986,2,RES1,29820.86736160501,W1,527200.0,352.1999206542969
887730,37.44566441358187,-121.88069157519993,1976.0,2,1980,1,RES1,51849.58613773094,W1,395200.0,352.19232177734375
888940,37.4323145,-121.917038,1812.0,2,1961,1,RES1,54645.673700226194,W1,362400.0,230.51573181152344
888941,37.43712566490733,-121.91834085193467,1594.0,1,1961,1,RES1,40385.20083301827,W1,318800.0,229.82586669921875
888942,37.43815663064658,-121.91854021306555,1253.0,1,1962,1,RES1,31445.65593322755,W1,250600.0,229.7276153564453
888943,37.438171,-121.917292,3958.5,1,1962,2,RES1,98795.88982855242,W1,791700.0,229.6759796142578
888944,37.43914999296216,-121.9178891711761,1633.0,1,1962,1,RES1,40477.38351002991,W1,326600.0,229.635986328125
888945,37.439873239091064,-121.91889298535409,1918.0,2,1962,1,RES1,66836.98196951982,W1,383600.0,229.59861755371094
888946,37.434381344049065,-121.90914219036841,3296.0,2,1998,5,RES3,90284.27371755832,W1,659200.0,229.5163116455078
888947,37.4364775,-121.9114425,1497.0,1,1964,1,RES1,39567.098880523394,W1,299400.0,229.50253295898438
888948,37.436855739525605,-121.91316139885485,1862.0,1,1964,2,RES1,48161.41147669678,W1,372400.0,229.60369873046875
888949,37.423908602203255,-121.91071491050407,1040.0,1,1958,1,RES1,16259.780192713744,W1,208000.0,231.4582977294922
888950,37.42913154964296,-121.91519068019471,1950.0,1,1963,2,RES1,37577.98337429569,W1,390000.0,230.93124389648438
888951,37.42931046436482,-121.90706533127353,4690.0,1,1940,0,COM1,43235.36363636363,RM2,541207.0,230.0748748779297
888962,37.42206882241991,-121.90926086467344,2981.5,2,2009,1,RES1,56244.36363636364,W1,596300.0,231.50279235839844
888963,37.40706880359647,-121.90482969164508,1992.0,1,1979,1,RES1,14645.214539400728,W1,398400.0,232.28665161132812
888964,37.407875841335354,-121.90706839825998,2170.0,1,1979,1,RES1,19518.73638060148,W1,434000.0,233.1223602294922
888965,37.408079539931975,-121.91354433912718,133000.0,1,1982,0,IND2,498039.00000000006,RM1,12967500.0,236.36428833007812
888966,37.409912332633084,-121.90543083402775,815.0,1,1980,1,RES1,6016.157310421772,W1,163000.0,232.46250915527344
888967,37.41284986305073,-121.90921618456127,1527.0,1,1981,1,RES1,13927.118134034456,W1,305400.0,233.3856964111328
889030,37.403868032926795,-121.90824729327805,2430.0,1,1978,2,RES1,13693.2040353484,W1,486000.0,233.43128967285156
889031,37.404328,-121.908973,1240.5,1,1977,1,RES1,7275.239864926225,W1,248100.0,233.74603271484375
889032,37.404792928517466,-121.90878131342667,2225.0,1,1977,2,RES1,13092.781528675032,W1,445000.0,233.76852416992188
889041,37.436139472592224,-121.89666252158068,442.0,2,2001,1,RES1,11946.64807743002,W1,88400.0,294.2712097167969
889042,37.436485024732654,-121.90373379230853,2633.0,2,1992,1,RES1,72074.90909090909,W1,526600.0,229.10171508789062
889043,37.43763529608659,-121.90390203875678,2556.0,2,1993,1,RES1,67035.63636363637,W1,511200.0,229.04791259765625
889044,37.43788893585648,-121.89801179020236,2590.0,2,2000,1,RES1,66807.55135778776,W1,518000.0,228.78623962402344
889045,37.438038,-121.9007765,2590.0,2,1999,1,RES1,65849.42682988207,W1,518000.0,228.8701171875
889046,37.4387715,-121.904064,3118.5,2,1983,4,RES1,87914.62169906672,W1,623700.0,228.94952392578125
889047,37.43963227847388,-121.89396308094018,1437.0,2,1984,1,RES1,34424.80078283656,W1,287400.0,294.03948974609375
889048,37.439712078910304,-121.89550767406149,2514.0,2,1988,1,RES1,65553.95072174736,W1,502800.0,294.088623046875
889049,37.43264512295547,-121.88298233095136,2237.0,1,1978,1,RES1,15493.818181818184,W1,447400.0,293.96185302734375
889050,37.43350507098968,-121.89011121080362,1604.0,1,1976,0,RES1,13542.25,C3,208520.0,294.1453552246094
889051,37.437471389633835,-121.8846019654516,1299.0,1,1964,1,RES1,9702.886440803799,W1,259800.0,293.8952331542969
889052,37.437700496101584,-121.8866304003119,1272.0,1,1964,1,RES1,10161.59144604834,W1,254400.0,293.9274597167969
889053,37.423444665018366,-121.89268755308152,44707.5,1,1984,0,IND2,316771.5,W2,4358981.25,294.7828063964844
889054,37.428445290521616,-121.88286588494351,8112.0,1,2015,12,RES3,74209.41116376742,W1,1622400.0,294.0533447265625
889055,37.4317770346645,-121.87772867988426,995.0,1,1968,1,RES1,7025.454545454545,W1,199000.0,293.8768615722656
889056,37.43231519135288,-121.8739498022534,1998.0,2,1961,1,RES1,35523.00826394082,W1,399600.0,352.2889404296875
889057,37.432587767956164,-121.87321807209192,1206.0,1,1961,1,RES1,6365.559912839691,W1,241200.0,352.28326416015625
889058,37.43400087831513,-121.88115821398856,653.0,1,1967,1,RES1,4226.181818181819,W1,130600.0,293.8962097167969
889059,37.43484574846044,-121.87863708210958,570.5,1,1970,1,RES1,3684.3636363636365,W1,114100.0,352.3167724609375
889060,37.4391235931226,-121.87780979371765,2852.5714285714284,2,1965,0,RES3,59237.50330495492,W1,570514.2857142857,352.25555419921875
889061,37.43272311282828,-121.86614669442167,1387.0,1,1971,1,RES1,8059.06597176212,W1,277400.0,352.2938232421875
889062,37.43361888938425,-121.870735411413,2077.0,2,1978,1,RES1,32298.50398775177,W1,415400.0,352.2713317871094
889063,37.433856941050394,-121.86637739314725,1732.0,1,1972,1,RES1,9538.558696014612,W1,346400.0,352.297119140625
