BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
9186,0.004,0.0099,0.0306,0.075,2,1.9588339523303973,3929500.0,"2.3129e+07,1.5419e+07","0.02790,0.01860","6.9387e+07,4.6258e+07","0.50229,0.33486",0.6,0.1
9187,0.004,0.0099,0.0306,0.075,1,4.351596439006002,1561000.0,4.5940e+06,0.00913,1.3782e+07,0.16438,0.6,0.1
9188,0.004,0.0099,0.0306,0.075,2,2.12410498261423,3048000.0,"1.7941e+07,1.1960e+07","0.02790,0.01860","5.3822e+07,3.5881e+07","0.50229,0.33486",0.6,0.1
9189,0.004,0.0099,0.0306,0.075,2,2.312491102685779,4133000.0,"2.4327e+07,1.6218e+07","0.02790,0.01860","7.2981e+07,4.8654e+07","0.50229,0.33486",0.6,0.1
9190,0.004,0.0099,0.0306,0.075,2,2.0356851301454473,1946000.0,"1.1454e+07,7.6361e+06","0.02790,0.01860","3.4362e+07,2.2908e+07","0.50229,0.33486",0.6,0.1
9191,0.004,0.0099,0.0306,0.075,1,3.8983099303543174,1180000.0,3.4727e+06,0.00913,1.0418e+07,0.16438,0.6,0.1
9192,0.004,0.0099,0.0306,0.075,1,4.4011298812056925,2320333.333333333,6.8287e+06,0.00913,2.0486e+07,0.16438,0.6,0.1
9193,0.004,0.0099,0.0306,0.075,1,4.341779231868863,320000.0,9.4176e+05,0.00913,2.8253e+06,0.16438,0.6,0.1
9194,0.004,0.0099,0.0306,0.075,1,4.057375043147157,2086000.0,6.1391e+06,0.00913,1.8417e+07,0.16438,0.6,0.1
9195,0.004,0.0099,0.0306,0.075,2,1.9764913871845349,1553500.0,"9.1439e+06,6.0959e+06","0.02790,0.01860","2.7432e+07,1.8288e+07","0.50229,0.33486",0.6,0.1
