BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
10477,0.004,0.0099,0.0306,0.075,2,2.260206897580383,6300000.0,"3.7082e+07,2.4721e+07","0.02790,0.01860","1.1125e+08,7.4164e+07","0.50229,0.33486",0.6,0.1
10478,0.004,0.0084,0.0232,0.06,1,6.703737927599229,536085.7142857143,1.0518e+06,0.00152,2.6295e+06,0.02283,0.4,0.4
10479,0.005,0.01,0.03,0.08,1,6.217062792051099,42699000.0,1.0472e+08,0.00248,3.1416e+08,0.05994,0.5,0.4
10480,0.004,0.01,0.03,0.08,2,3.2213756713210415,9448400.0,"7.4151e+07,4.9434e+07","0.00930,0.00620","1.8538e+08,1.2359e+08","0.18584,0.12389",0.6,0.4
10481,0.004,0.012,0.04,0.1,2,2.107533440219845,1612500.0,"1.2655e+07,8.4366e+06","0.03721,0.02480","3.7965e+07,2.5310e+07","0.89218,0.59479",0.8,0.1
10482,0.004,0.0099,0.0306,0.075,1,3.991129067333803,1161000.0,3.4168e+06,0.00913,1.0250e+07,0.16438,0.6,0.1
10483,0.004,0.012,0.04,0.1,1,4.399832426781315,1218500.0,4.7814e+06,0.01218,1.4344e+07,0.29197,0.8,0.1
10484,0.004,0.012,0.04,0.1,1,4.39040878739326,1346000.0,5.2817e+06,0.01218,1.5845e+07,0.29197,0.8,0.1
10485,0.004,0.012,0.04,0.1,1,4.282518632870368,2200000.0,8.6328e+06,0.01218,2.5898e+07,0.29197,0.8,0.1
10486,0.004,0.012,0.04,0.1,1,4.21579886070845,595000.0,2.3348e+06,0.01218,7.0043e+06,0.29197,0.8,0.1
10487,0.004,0.012,0.04,0.1,1,4.4775158880874155,1943000.0,7.6243e+06,0.01218,2.2873e+07,0.29197,0.8,0.1
10488,0.004,0.012,0.04,0.1,1,4.061982775596898,1190000.0,4.6696e+06,0.01218,1.4009e+07,0.29197,0.8,0.1
10489,0.004,0.012,0.04,0.1,2,2.052629522166252,5223300.0,"4.0992e+07,2.7328e+07","0.03721,0.02480","1.2298e+08,8.1985e+07","0.89218,0.59479",0.8,0.1
10490,0.004,0.012,0.04,0.1,2,2.0287206415645453,2852000.0,"2.2382e+07,1.4922e+07","0.03721,0.02480","6.7147e+07,4.4765e+07","0.89218,0.59479",0.8,0.1
10491,0.004,0.012,0.04,0.1,2,2.142684199773276,1559000.0,"1.2235e+07,8.1567e+06","0.03721,0.02480","3.6705e+07,2.4470e+07","0.89218,0.59479",0.8,0.1
10492,0.004,0.012,0.04,0.1,2,2.0206435368595814,2754500.0,"2.1617e+07,1.4412e+07","0.03721,0.02480","6.4852e+07,4.3235e+07","0.89218,0.59479",0.8,0.1
10493,0.004,0.012,0.04,0.1,2,2.0618395811251466,4730500.0,"3.7125e+07,2.4750e+07","0.03721,0.02480","1.1137e+08,7.4250e+07","0.89218,0.59479",0.8,0.1
10494,0.004,0.012,0.04,0.1,2,2.059622916440841,2001000.0,"1.5704e+07,1.0469e+07","0.03721,0.02480","4.7112e+07,3.1408e+07","0.89218,0.59479",0.8,0.1
10495,0.005,0.01,0.03,0.08,2,3.6102491190165016,118578000.0,"9.3060e+08,6.2040e+08","0.01215,0.00810","1.8612e+09,1.2408e+09","0.19323,0.12882",0.5,0.0
10496,0.004,0.012,0.04,0.1,1,3.9613669382317185,1803000.0,7.0750e+06,0.01218,2.1225e+07,0.29197,0.8,0.1
10497,0.004,0.0099,0.0306,0.075,1,4.2858466796476264,1182000.0,3.4786e+06,0.00913,1.0436e+07,0.16438,0.6,0.1
10498,0.004,0.012,0.04,0.1,2,2.2708992000311405,1248000.0,"9.7943e+06,6.5295e+06","0.03721,0.02480","2.9383e+07,1.9589e+07","0.89218,0.59479",0.8,0.1
10499,0.004,0.012,0.04,0.1,1,4.296206581799387,2137000.0,8.3856e+06,0.01218,2.5157e+07,0.29197,0.8,0.1
10500,0.004,0.0099,0.0306,0.075,1,4.609060000109679,1102000.0,3.2432e+06,0.00913,9.7296e+06,0.16438,0.6,0.1
10501,0.004,0.0099,0.0306,0.075,1,4.561528586718445,1312000.0,3.8612e+06,0.00913,1.1584e+07,0.16438,0.6,0.1
10502,0.004,0.0099,0.0306,0.075,1,4.436406166864501,1074500.0,3.1623e+06,0.00913,9.4868e+06,0.16438,0.6,0.1
10503,0.004,0.0099,0.0306,0.075,1,4.283164761374103,908000.0,2.6722e+06,0.00913,8.0167e+06,0.16438,0.6,0.1
10504,0.004,0.0099,0.0306,0.075,1,4.272003384279702,1102000.0,3.2432e+06,0.00913,9.7296e+06,0.16438,0.6,0.1
10505,0.004,0.012,0.04,0.1,1,4.433316116535284,1549000.0,6.0783e+06,0.01218,1.8235e+07,0.29197,0.8,0.1
10506,0.004,0.0099,0.0306,0.075,1,4.184446110178479,1187000.0,3.4933e+06,0.00913,1.0480e+07,0.16438,0.6,0.1
10507,0.004,0.0099,0.0306,0.075,1,3.8838690587524978,1154000.0,3.3962e+06,0.00913,1.0189e+07,0.16438,0.6,0.1
10508,0.004,0.0099,0.0306,0.075,1,4.373475828926208,1417000.0,4.1702e+06,0.00913,1.2511e+07,0.16438,0.6,0.1
10509,0.004,0.0099,0.0306,0.075,1,4.03257223051122,1518000.0,4.4675e+06,0.00913,1.3402e+07,0.16438,0.6,0.1
10510,0.004,0.0099,0.0306,0.075,1,4.066777078023128,1102000.0,3.2432e+06,0.00913,9.7296e+06,0.16438,0.6,0.1
10511,0.004,0.0099,0.0306,0.075,1,4.267247781811897,1492000.0,4.3910e+06,0.00913,1.3173e+07,0.16438,0.6,0.1
10512,0.004,0.0099,0.0306,0.075,2,2.1234761728430356,10668000.0,"6.2792e+07,4.1861e+07","0.02790,0.01860","1.8838e+08,1.2558e+08","0.50229,0.33486",0.6,0.1
10513,0.004,0.0099,0.0306,0.075,1,3.976309366048971,1848000.0,5.4387e+06,0.00913,1.6316e+07,0.16438,0.6,0.1
10514,0.004,0.0099,0.0306,0.075,1,4.302655768588006,1504000.0,4.4263e+06,0.00913,1.3279e+07,0.16438,0.6,0.1
10515,0.004,0.0099,0.0306,0.075,2,2.239197800456446,1856000.0,"1.0924e+07,7.2829e+06","0.02790,0.01860","3.2773e+07,2.1849e+07","0.50229,0.33486",0.6,0.1
