BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
7995,0.004,0.012,0.04,0.1,2,2.1326625397907115,3430000.0,"2.6919e+07,1.7946e+07","0.03721,0.02480","8.0756e+07,5.3837e+07","0.89218,0.59479",0.8,0.1
7996,0.004,0.012,0.04,0.1,2,2.1056532269626467,1593000.0,"1.2502e+07,8.3346e+06","0.03721,0.02480","3.7506e+07,2.5004e+07","0.89218,0.59479",0.8,0.1
7997,0.004,0.012,0.04,0.1,2,2.144754320659719,941000.0,"7.3850e+06,4.9233e+06","0.03721,0.02480","2.2155e+07,1.4770e+07","0.89218,0.59479",0.8,0.1
7998,0.004,0.012,0.04,0.1,2,2.0762759482715776,1655000.0,"1.2988e+07,8.6590e+06","0.03721,0.02480","3.8965e+07,2.5977e+07","0.89218,0.59479",0.8,0.1
7999,0.004,0.012,0.04,0.1,1,4.551620959375626,1694000.0,6.6473e+06,0.01218,1.9942e+07,0.29197,0.8,0.1
8000,0.004,0.012,0.04,0.1,1,4.298887715726779,937000.0,3.6768e+06,0.01218,1.1030e+07,0.29197,0.8,0.1
8001,0.004,0.008,0.024,0.07,1,5.833878086020637,4480727.272727273,2.3429e+07,0.00406,4.6857e+07,0.06483,0.6,0.1
8002,0.005,0.01,0.03,0.08,1,6.382155711262854,24500000.0,6.0086e+07,0.00248,1.8026e+08,0.05994,0.5,0.4
8003,0.004,0.012,0.04,0.1,1,4.005820765163764,1803000.0,7.0750e+06,0.01218,2.1225e+07,0.29197,0.8,0.1
8004,0.004,0.012,0.04,0.1,1,4.550251896608252,2524000.0,9.9042e+06,0.01218,2.9713e+07,0.29197,0.8,0.1
8005,0.004,0.012,0.04,0.1,2,2.2419895533061256,2330000.0,"1.8286e+07,1.2191e+07","0.03721,0.02480","5.4858e+07,3.6572e+07","0.89218,0.59479",0.8,0.1
8006,0.004,0.012,0.04,0.1,2,2.2871338931577565,2515000.0,"1.9738e+07,1.3158e+07","0.03721,0.02480","5.9213e+07,3.9475e+07","0.89218,0.59479",0.8,0.1
8007,0.004,0.012,0.04,0.1,2,2.11678488797538,2515000.0,"1.9738e+07,1.3158e+07","0.03721,0.02480","5.9213e+07,3.9475e+07","0.89218,0.59479",0.8,0.1
8008,0.004,0.0099,0.0306,0.075,2,2.081325592684702,1987000.0,"1.1695e+07,7.7970e+06","0.02790,0.01860","3.5086e+07,2.3391e+07","0.50229,0.33486",0.6,0.1
8009,0.004,0.0099,0.0306,0.075,1,4.28516459190722,1318000.0,3.8789e+06,0.00913,1.1637e+07,0.16438,0.6,0.1
8010,0.004,0.0099,0.0306,0.075,2,2.124611271466561,1907000.0,"1.1225e+07,7.4831e+06","0.02790,0.01860","3.3674e+07,2.2449e+07","0.50229,0.33486",0.6,0.1
8011,0.004,0.0099,0.0306,0.075,2,2.0650901458141955,1987000.0,"1.1695e+07,7.7970e+06","0.02790,0.01860","3.5086e+07,2.3391e+07","0.50229,0.33486",0.6,0.1
8012,0.004,0.0099,0.0306,0.075,2,2.0753494064954476,2028000.0,"1.1937e+07,7.9579e+06","0.02790,0.01860","3.5810e+07,2.3874e+07","0.50229,0.33486",0.6,0.1
8013,0.004,0.012,0.04,0.1,2,2.0948711575826335,2087000.0,"1.6379e+07,1.0919e+07","0.03721,0.02480","4.9136e+07,3.2758e+07","0.89218,0.59479",0.8,0.1
8014,0.004,0.012,0.04,0.1,2,2.012364722793618,2666000.0,"2.0923e+07,1.3949e+07","0.03721,0.02480","6.2768e+07,4.1846e+07","0.89218,0.59479",0.8,0.1
8015,0.003,0.006,0.015,0.035,1,,853731.3432835821,8.3751e+05,0.00076,1.8844e+06,0.00856,0.3,0.4
8016,0.004,0.012,0.04,0.1,2,2.1280282292302237,1422500.0,"1.1164e+07,7.4425e+06","0.03721,0.02480","3.3491e+07,2.2328e+07","0.89218,0.59479",0.8,0.1
8017,0.004,0.012,0.04,0.1,2,2.1009545108193715,3541000.0,"2.7790e+07,1.8527e+07","0.03721,0.02480","8.3369e+07,5.5580e+07","0.89218,0.59479",0.8,0.1
8018,0.004,0.012,0.04,0.1,2,2.018375511898184,1770500.0,"1.3895e+07,9.2633e+06","0.03721,0.02480","4.1685e+07,2.7790e+07","0.89218,0.59479",0.8,0.1
8019,0.004,0.0084,0.0232,0.06,1,5.7523828030584205,15600000.0,3.0607e+07,0.00152,7.6518e+07,0.02283,0.4,0.4
8020,0.004,0.012,0.04,0.1,2,2.350449053322997,1887000.0,"1.4809e+07,9.8728e+06","0.03721,0.02480","4.4428e+07,2.9618e+07","0.89218,0.59479",0.8,0.1
8021,0.003,0.006,0.015,0.035,1,,20814600.0,2.0419e+07,0.00076,4.5943e+07,0.00856,0.3,0.4
8022,0.004,0.012,0.04,0.1,2,2.199735473014676,1501500.0,"1.1784e+07,7.8558e+06","0.03721,0.02480","3.5351e+07,2.3568e+07","0.89218,0.59479",0.8,0.1
8023,0.004,0.012,0.04,0.1,2,2.1510205789199643,1643500.0,"1.2898e+07,8.5988e+06","0.03721,0.02480","3.8695e+07,2.5796e+07","0.89218,0.59479",0.8,0.1
8024,0.004,0.012,0.04,0.1,2,1.8571652589226104,1770500.0,"1.3895e+07,9.2633e+06","0.03721,0.02480","4.1685e+07,2.7790e+07","0.89218,0.59479",0.8,0.1
